15:34:07 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 104890760
15:34:07 | INFO     | unificador |    Texto extraído: 0 caracteres
15:34:07 | INFO     | unificador |    Preview: ...
15:34:07 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 104890760_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
15:34:07 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 105015862
15:34:07 | INFO     | unificador |    Texto extraído: 0 caracteres
15:34:07 | INFO     | unificador |    Preview: ...
15:34:07 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 105015862_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
15:34:07 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 105048442
15:34:07 | INFO     | unificador |    Texto extraído: 0 caracteres
15:34:07 | INFO     | unificador |    Preview: ...
15:34:07 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 105048442_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
15:34:07 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 105058540
15:34:07 | INFO     | unificador |    Texto extraído: 0 caracteres
15:34:07 | INFO     | unificador |    Preview: ...
15:34:07 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 105058540_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
15:34:07 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 105103304
15:34:07 | INFO     | unificador |    Texto extraído: 0 caracteres
15:34:07 | INFO     | unificador |    Preview: ...
15:34:07 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 105103304_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
15:34:07 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 105117536
15:34:07 | INFO     | unificador |    Texto extraído: 0 caracteres
15:34:07 | INFO     | unificador |    Preview: ...
15:34:07 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 105117536_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
15:34:07 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 105134135
15:34:07 | INFO     | unificador |    Texto extraído: 0 caracteres
15:34:07 | INFO     | unificador |    Preview: ...
15:34:07 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 105134135_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
15:34:07 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 1052027
15:34:07 | INFO     | unificador |    Texto extraído: 0 caracteres
15:34:07 | INFO     | unificador |    Preview: ...
15:34:07 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 1052027_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
15:34:07 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 10529875
15:34:07 | INFO     | unificador |    Texto extraído: 0 caracteres
15:34:07 | INFO     | unificador |    Preview: ...
15:34:07 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 10529875_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
15:34:07 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 105301957
15:34:07 | INFO     | unificador |    Texto extraído: 0 caracteres
15:34:07 | INFO     | unificador |    Preview: ...
15:34:07 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 105301957_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
15:34:07 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 105320817
15:34:07 | INFO     | unificador |    Texto extraído: 0 caracteres
15:34:07 | INFO     | unificador |    Preview: ...
